Montserrat,1,4,0,0,1,1
Jordan,5,1,98,2,8,0
Iran,5,1,1648,39,6,0
Cook-Islands,6,3,0,0,1,1
Kenya,4,1,583,17,10,0
Falklands-Malvinas,2,3,12,0,1,1
Peru,2,3,1285,14,2,1
Surinam,2,4,63,0,6,1
Vatican-City,3,1,0,0,6,1
Belize,1,4,23,0,1,1
Guyana,2,4,215,1,1,0
Niger,4,1,1267,5,3,0
Kiribati,6,1,0,0,1,1
Cuba,1,4,115,10,2,0
Nigeria,4,1,925,56,10,0
Swaziland,4,2,17,1,10,1
Soloman-Islands,6,2,30,0,1,1
Lebanon,5,1,10,3,8,0
Parguay,2,3,407,3,2,1
Afghanistan,5,1,648,16,10,0
Kuwait,5,1,18,2,8,0
Lesotho,4,2,30,1,10,0
St-Lucia,1,4,0,0,1,1
Vietnam,5,1,333,60,10,0
Romania,3,1,237,22,6,0
Maldive-Islands,5,1,0,0,10,0
Sweden,3,1,450,8,6,1
Papua-New-Guinea,6,2,463,3,1,0
Chile,2,3,757,11,2,1
USSR,5,1,22402,274,5,0
Uganda,4,1,236,13,10,0
Zaire,4,2,905,28,10,0
Hong-Kong,5,1,1,5,7,0
St-Helena,4,3,0,0,1,1
Tunisia,4,1,164,7,8,0
Burma,5,1,678,35,10,0
Poland,3,1,313,36,5,0
Burkina,4,4,274,7,3,0
Australia,6,2,7690,15,1,1
American-Samoa,6,3,0,0,1,1
Puerto-Rico,1,4,9,3,2,1
Antigua-Barbuda,1,4,0,0,1,1
Ecuador,2,3,284,8,2,1
Mali,4,4,1240,7,3,0
Honduras,1,4,112,4,2,1
Sierra-Leone,4,4,72,3,1,0
Cape-Verde-Islands,4,4,4,0,6,1
Malta,3,1,0,0,10,1
Congo,4,2,342,2,10,0
Costa-Rica,1,4,51,2,2,1
Panama,2,4,76,2,2,1
French-Guiana,2,4,91,0,3,1
Tuvalu,6,2,0,0,1,1
Portugal,3,4,92,10,6,1
Faeroes,3,4,1,0,6,1
South-Africa,4,2,1221,29,6,1
Dominica,1,4,0,0,1,1
Netherlands-Antilles,1,4,0,0,6,1
British-Virgin-Isles,1,4,0,0,1,1
Albania,3,1,29,3,6,0
Bahamas,1,4,19,0,1,1
Bhutan,5,1,47,1,10,0
Ireland,3,4,70,3,1,1
Cyprus,3,1,9,1,6,1
Argentina,2,3,2777,28,2,1
New-Zealand,6,2,268,2,1,1
Israel,5,1,21,4,10,0
Malawi,4,2,118,6,10,0
Qatar,5,1,11,0,8,0
Trinidad-Tobago,2,4,5,1,1,1
Andorra,3,1,0,0,6,1
Malaysia,5,1,333,13,10,0
Iraq,5,1,435,14,8,0
Grenada,1,4,0,0,1,1
Syria,5,1,185,10,8,0
Liberia,4,4,111,1,10,0
Luxembourg,3,1,3,0,4,1
Canada,1,4,9976,24,1,1
Zimbabwe,4,2,391,8,10,0
Central-African-Republic,4,1,623,2,10,0
Colombia,2,4,1139,28,2,1
India,5,1,3268,684,6,0
Pakistan,5,1,804,84,6,0
Botswana,4,2,600,1,10,0
Dominican-Republic,1,4,49,6,2,1
Libya,4,1,1760,3,8,0
Togo,4,1,57,2,3,0
Sao-Tome,4,1,0,0,6,1
Haiti,1,4,28,6,3,1
Malagasy,4,2,587,9,10,1
US-Virgin-Isles,1,4,0,0,1,1
Morocco,4,4,447,20,8,0
Nepal,5,1,140,16,10,0
Philippines,6,1,300,48,10,1
Taiwan,5,1,36,18,7,0
Brazil,2,3,8512,119,6,1
Mauritius,4,2,2,1,1,0
Liechtenstein,3,1,0,0,4,1
Gambia,4,4,10,1,1,0
Zambia,4,2,753,6,10,0
Bangladesh,5,1,143,90,6,0
Yugoslavia,3,1,256,22,6,0
Chad,4,1,1284,4,3,0
Djibouti,4,1,22,0,3,0
Egypt,4,1,1001,47,8,0
Bolivia,2,3,1099,6,2,1
Norway,3,1,324,4,6,1
Denmark,3,1,43,5,6,1
Guam,6,1,0,0,1,1
Senegal,4,4,196,6,3,0
Algeria,4,1,2388,20,8,0
Micronesia,6,1,1,0,10,1
North-Korea,5,1,121,18,10,0
Mozambique,4,2,783,12,10,0
Venezuela,2,4,912,15,2,1
France,3,1,547,54,3,1
Finland,3,1,337,5,9,1
Fiji,6,2,18,1,1,1
Anguilla,1,4,0,0,1,1
Indonesia,6,2,1904,157,10,0
Mexico,1,4,1973,77,2,1
Italy,3,1,301,57,6,1
Uruguay,2,3,178,3,2,1
Bahrain,5,1,1,0,8,0
Marianas,6,1,0,0,10,1
Monaco,3,1,0,0,3,1
Switzerland,3,1,41,6,4,1
Cayman-Islands,1,4,0,0,1,1
Niue,6,3,0,0,1,1
Thailand,5,1,514,49,10,0
UK,3,4,245,56,1,1
Turkey,5,1,781,45,9,0
Barbados,1,4,0,0,1,1
Greece,3,1,132,10,6,1
Somalia,4,1,637,5,10,0
Ghana,4,4,239,14,1,0
Netherlands,3,1,41,14,6,1
Comorro-Islands,4,2,2,0,3,0
Guatemala,1,4,109,8,2,1
Kampuchea,5,1,181,6,10,0
Iceland,3,4,103,0,6,1
Tonga,6,2,1,0,10,1
Guinea-Bissau,4,4,36,1,6,0
Saudi-Arabia,5,1,2150,9,8,0
Turks-Cocos-Islands,1,4,0,0,1,1
Hungary,3,1,93,11,9,0
Cameroon,4,1,474,8,3,1
Ivory-Coast,4,4,323,7,3,0
Singapore,5,1,1,3,7,0
Gibraltar,3,4,0,0,1,1
North-Yemen,5,1,195,9,8,0
Laos,5,1,236,3,10,0
